Frame No,Exit Branch,Latency,Confidence,Accuracy,B1 FLOPs,B2 FLOPs,Main FLOPs
0,failed,0.010079383850097656,0,No detection,6220800.0,1990656.0,163044928.0
1,b1,0.006318092346191406,0.0009762366535142064,0.5,6220800.0,1990656.0,163044928.0
2,failed,0.004500865936279297,0,No detection,6220800.0,1990656.0,163044928.0
3,b1,0.004473209381103516,0.019450075924396515,0.5,6220800.0,1990656.0,163044928.0
4,b1,0.005308628082275391,0.08618037402629852,0.6,6220800.0,1990656.0,163044928.0
5,failed,0.004880666732788086,0,No detection,6220800.0,1990656.0,163044928.0
6,failed,0.00417637825012207,0,No detection,6220800.0,1990656.0,163044928.0
7,failed,0.005727052688598633,0,No detection,6220800.0,1990656.0,163044928.0
8,b1,0.0043828487396240234,0.0007450164412148297,0.4444444444444444,6220800.0,1990656.0,163044928.0
9,b1,0.004212141036987305,0.007434021681547165,0.5,6220800.0,1990656.0,163044928.0
10,b1,0.004238128662109375,0.00013500497152563184,0.5454545454545454,6220800.0,1990656.0,163044928.0
11,failed,0.0038366317749023438,0,No detection,6220800.0,1990656.0,163044928.0
12,b1,0.005246639251708984,6.736084469594061e-05,0.5384615384615384,6220800.0,1990656.0,163044928.0
13,failed,0.004608869552612305,0,No detection,6220800.0,1990656.0,163044928.0
14,failed,0.004424333572387695,0,No detection,6220800.0,1990656.0,163044928.0
15,failed,0.004558563232421875,0,No detection,6220800.0,1990656.0,163044928.0
16,b1,0.004828453063964844,0.000916034507099539,0.47058823529411764,6220800.0,1990656.0,163044928.0
17,b1,0.004447221755981445,0.001184034743346274,0.5,6220800.0,1990656.0,163044928.0
18,b1,0.0044901371002197266,0.0014087986201047897,0.5263157894736842,6220800.0,1990656.0,163044928.0
19,b1,0.003834247589111328,0.1277899444103241,0.55,6220800.0,1990656.0,163044928.0
20,b1,0.0033507347106933594,0.001045352197252214,0.5714285714285714,6220800.0,1990656.0,163044928.0
21,b1,0.004974365234375,0.1351083666086197,0.5909090909090909,6220800.0,1990656.0,163044928.0
22,b1,0.005772113800048828,0.000822930654976517,0.6086956521739131,6220800.0,1990656.0,163044928.0
23,b1,0.005008697509765625,0.005292182322591543,0.625,6220800.0,1990656.0,163044928.0
24,b1,0.00407719612121582,0.0019585085101425648,0.64,6220800.0,1990656.0,163044928.0
25,b1,0.004464626312255859,0.0014672487741336226,0.6538461538461539,6220800.0,1990656.0,163044928.0
26,b1,0.004243612289428711,0.0014038629597052932,0.6666666666666666,6220800.0,1990656.0,163044928.0
27,failed,0.004258871078491211,0,No detection,6220800.0,1990656.0,163044928.0
28,b1,0.0057888031005859375,0.001753291697241366,0.6551724137931034,6220800.0,1990656.0,163044928.0
29,b1,0.004433155059814453,0.010553698055446148,0.6666666666666666,6220800.0,1990656.0,163044928.0
