Frame No,Exit Branch,Latency,Confidence,Accuracy,B1 FLOPs,B2 FLOPs,Main FLOPs
0,b2,0.016405820846557617,1.8726503185462207e-05,1.0,6220800.0,1990656.0,163044928.0
1,failed,0.011836051940917969,0,No detection,6220800.0,1990656.0,163044928.0
2,b2,0.00767970085144043,1.0523440323595423e-05,0.6666666666666666,6220800.0,1990656.0,163044928.0
3,b2,0.007447719573974609,0.025143861770629883,0.75,6220800.0,1990656.0,163044928.0
4,failed,0.008409261703491211,0,No detection,6220800.0,1990656.0,163044928.0
5,b2,0.00919651985168457,0.003586910432204604,0.6666666666666666,6220800.0,1990656.0,163044928.0
6,failed,0.007605314254760742,0,No detection,6220800.0,1990656.0,163044928.0
7,b2,0.00830841064453125,0.0006082301260903478,0.625,6220800.0,1990656.0,163044928.0
8,b2,0.00677037239074707,0.0004335306293796748,0.6666666666666666,6220800.0,1990656.0,163044928.0
9,b2,0.009735107421875,0.03806508705019951,0.7,6220800.0,1990656.0,163044928.0
10,b2,0.007691860198974609,0.014966211281716824,0.7272727272727273,6220800.0,1990656.0,163044928.0
11,b2,0.006466865539550781,0.0022521475329995155,0.75,6220800.0,1990656.0,163044928.0
12,failed,0.0067670345306396484,0,No detection,6220800.0,1990656.0,163044928.0
13,b2,0.006596088409423828,0.04147059842944145,0.7142857142857143,6220800.0,1990656.0,163044928.0
14,b2,0.005835294723510742,0.00310397963039577,0.7333333333333333,6220800.0,1990656.0,163044928.0
15,failed,0.008157491683959961,0,No detection,6220800.0,1990656.0,163044928.0
16,b2,0.007720232009887695,0.013264548033475876,0.7058823529411765,6220800.0,1990656.0,163044928.0
17,b2,0.007210969924926758,0.04644033685326576,0.7222222222222222,6220800.0,1990656.0,163044928.0
18,failed,0.0077228546142578125,0,No detection,6220800.0,1990656.0,163044928.0
19,b2,0.006505250930786133,0.00029178327531553805,0.7,6220800.0,1990656.0,163044928.0
20,b2,0.009547233581542969,0.002068297704681754,0.7142857142857143,6220800.0,1990656.0,163044928.0
21,failed,0.009725809097290039,0,No detection,6220800.0,1990656.0,163044928.0
22,failed,0.008541345596313477,0,No detection,6220800.0,1990656.0,163044928.0
23,failed,0.006452083587646484,0,No detection,6220800.0,1990656.0,163044928.0
24,b2,0.0062863826751708984,0.00042561354348436,0.64,6220800.0,1990656.0,163044928.0
25,failed,0.006736040115356445,0,No detection,6220800.0,1990656.0,163044928.0
26,b2,0.006260395050048828,1.9445449197519338e-06,0.6296296296296297,6220800.0,1990656.0,163044928.0
27,b2,0.006431102752685547,8.585978503106162e-05,0.6428571428571429,6220800.0,1990656.0,163044928.0
28,failed,0.0063571929931640625,0,No detection,6220800.0,1990656.0,163044928.0
29,b2,0.006489276885986328,0.006098245736211538,0.6333333333333333,6220800.0,1990656.0,163044928.0
30,failed,0.00738978385925293,0,No detection,6220800.0,1990656.0,163044928.0
31,b2,0.006615877151489258,4.7986700337787624e-06,0.625,6220800.0,1990656.0,163044928.0
32,b2,0.009142398834228516,0.004117664881050587,0.6363636363636364,6220800.0,1990656.0,163044928.0
33,failed,0.006334543228149414,0,No detection,6220800.0,1990656.0,163044928.0
34,b2,0.007096529006958008,0.033249132335186005,0.6285714285714286,6220800.0,1990656.0,163044928.0
35,failed,0.0064203739166259766,0,No detection,6220800.0,1990656.0,163044928.0
36,b2,0.008443593978881836,8.07465099228466e-08,0.6216216216216216,6220800.0,1990656.0,163044928.0
37,b2,0.006712913513183594,0.0024569393135607243,0.631578947368421,6220800.0,1990656.0,163044928.0
38,b2,0.00622105598449707,0.00036114733666181564,0.6410256410256411,6220800.0,1990656.0,163044928.0
39,failed,0.006296873092651367,0,No detection,6220800.0,1990656.0,163044928.0
40,b2,0.006506204605102539,1.185601740871789e-05,0.6341463414634146,6220800.0,1990656.0,163044928.0
41,failed,0.006028890609741211,0,No detection,6220800.0,1990656.0,163044928.0
42,failed,0.006341218948364258,0,No detection,6220800.0,1990656.0,163044928.0
43,b2,0.005762815475463867,0.04242224618792534,0.6136363636363636,6220800.0,1990656.0,163044928.0
44,b2,0.006301164627075195,8.351558790309355e-06,0.6222222222222222,6220800.0,1990656.0,163044928.0
45,failed,0.0061321258544921875,0,No detection,6220800.0,1990656.0,163044928.0
46,failed,0.006041288375854492,0,No detection,6220800.0,1990656.0,163044928.0
47,b2,0.007711648941040039,0.00039534480310976505,0.6041666666666666,6220800.0,1990656.0,163044928.0
48,failed,0.007276773452758789,0,No detection,6220800.0,1990656.0,163044928.0
49,b2,0.0063250064849853516,0.01302961353212595,0.6,6220800.0,1990656.0,163044928.0
50,failed,0.005970478057861328,0,No detection,6220800.0,1990656.0,163044928.0
51,failed,0.008409500122070312,0,No detection,6220800.0,1990656.0,163044928.0
52,b2,0.008021354675292969,0.000107191750430502,0.5849056603773585,6220800.0,1990656.0,163044928.0
53,failed,0.006865262985229492,0,No detection,6220800.0,1990656.0,163044928.0
54,b2,0.008414030075073242,0.0005563865415751934,0.5818181818181818,6220800.0,1990656.0,163044928.0
55,failed,0.006349086761474609,0,No detection,6220800.0,1990656.0,163044928.0
56,failed,0.007104396820068359,0,No detection,6220800.0,1990656.0,163044928.0
57,b2,0.007988929748535156,0.2396095246076584,0.5689655172413793,6220800.0,1990656.0,163044928.0
58,b2,0.007314920425415039,0.12660835683345795,0.576271186440678,6220800.0,1990656.0,163044928.0
59,failed,0.006284236907958984,0,No detection,6220800.0,1990656.0,163044928.0
60,failed,0.0067081451416015625,0,No detection,6220800.0,1990656.0,163044928.0
61,failed,0.006388187408447266,0,No detection,6220800.0,1990656.0,163044928.0
62,b2,0.010089635848999023,0.007630231790244579,0.5555555555555556,6220800.0,1990656.0,163044928.0
63,b2,0.00720977783203125,2.2417259970097803e-05,0.5625,6220800.0,1990656.0,163044928.0
64,b2,0.006502389907836914,0.020080646499991417,0.5692307692307692,6220800.0,1990656.0,163044928.0
65,b2,0.009717941284179688,0.08063389360904694,0.5757575757575758,6220800.0,1990656.0,163044928.0
66,failed,0.008823156356811523,0,No detection,6220800.0,1990656.0,163044928.0
67,failed,0.006818294525146484,0,No detection,6220800.0,1990656.0,163044928.0
68,failed,0.005845308303833008,0,No detection,6220800.0,1990656.0,163044928.0
69,b2,0.006491661071777344,2.6012818921117287e-07,0.5571428571428572,6220800.0,1990656.0,163044928.0
70,b2,0.006545543670654297,0.00027608650270849466,0.5633802816901409,6220800.0,1990656.0,163044928.0
71,b2,0.006224393844604492,0.16413655877113342,0.5694444444444444,6220800.0,1990656.0,163044928.0
72,failed,0.006229877471923828,0,No detection,6220800.0,1990656.0,163044928.0
73,b2,0.007279396057128906,0.0011641685850918293,0.5675675675675675,6220800.0,1990656.0,163044928.0
74,b2,0.008180618286132812,0.044037431478500366,0.5733333333333334,6220800.0,1990656.0,163044928.0
75,b2,0.008098840713500977,8.544101729057729e-05,0.5789473684210527,6220800.0,1990656.0,163044928.0
76,failed,0.006654262542724609,0,No detection,6220800.0,1990656.0,163044928.0
77,b2,0.008028984069824219,0.005549888126552105,0.5769230769230769,6220800.0,1990656.0,163044928.0
78,b2,0.011021614074707031,0.00029340863693505526,0.5822784810126582,6220800.0,1990656.0,163044928.0
79,b2,0.007144451141357422,0.000509499222971499,0.5875,6220800.0,1990656.0,163044928.0
80,b2,0.007874250411987305,1.9822109607048333e-05,0.5925925925925926,6220800.0,1990656.0,163044928.0
81,failed,0.0064966678619384766,0,No detection,6220800.0,1990656.0,163044928.0
82,b2,0.008330345153808594,0.0069341096095740795,0.5903614457831325,6220800.0,1990656.0,163044928.0
83,failed,0.006470203399658203,0,No detection,6220800.0,1990656.0,163044928.0
84,b2,0.006536245346069336,0.012688549235463142,0.5882352941176471,6220800.0,1990656.0,163044928.0
85,failed,0.0066869258880615234,0,No detection,6220800.0,1990656.0,163044928.0
86,failed,0.006888389587402344,0,No detection,6220800.0,1990656.0,163044928.0
87,b2,0.00697636604309082,0.002245627110823989,0.5795454545454546,6220800.0,1990656.0,163044928.0
88,b2,0.007077932357788086,0.00012205443636048585,0.5842696629213483,6220800.0,1990656.0,163044928.0
89,b2,0.00954294204711914,0.025014538317918777,0.5888888888888889,6220800.0,1990656.0,163044928.0
90,b2,0.006821155548095703,0.026502877473831177,0.5934065934065934,6220800.0,1990656.0,163044928.0
91,b2,0.007322072982788086,0.004943720996379852,0.5978260869565217,6220800.0,1990656.0,163044928.0
92,b2,0.00756525993347168,0.03994904085993767,0.6021505376344086,6220800.0,1990656.0,163044928.0
93,failed,0.006615400314331055,0,No detection,6220800.0,1990656.0,163044928.0
94,failed,0.006056070327758789,0,No detection,6220800.0,1990656.0,163044928.0
95,b2,0.006941318511962891,3.900976662407629e-05,0.59375,6220800.0,1990656.0,163044928.0
96,b2,0.006685972213745117,0.0012208225671201944,0.5979381443298969,6220800.0,1990656.0,163044928.0
97,b2,0.0064983367919921875,6.362982821883634e-05,0.6020408163265306,6220800.0,1990656.0,163044928.0
98,b2,0.008274316787719727,1.8377785409029457e-06,0.6060606060606061,6220800.0,1990656.0,163044928.0
99,b2,0.007442474365234375,0.0001251406065421179,0.61,6220800.0,1990656.0,163044928.0
100,b2,0.006893634796142578,0.0024831255432218313,0.6138613861386139,6220800.0,1990656.0,163044928.0
101,failed,0.008297204971313477,0,No detection,6220800.0,1990656.0,163044928.0
102,b2,0.00711512565612793,0.0010107213165611029,0.6116504854368932,6220800.0,1990656.0,163044928.0
103,failed,0.00820469856262207,0,No detection,6220800.0,1990656.0,163044928.0
104,failed,0.007391929626464844,0,No detection,6220800.0,1990656.0,163044928.0
105,b2,0.006018400192260742,0.00022792996605858207,0.6037735849056604,6220800.0,1990656.0,163044928.0
106,b2,0.007967472076416016,0.002997604664415121,0.6074766355140186,6220800.0,1990656.0,163044928.0
107,b2,0.00757598876953125,0.10600961744785309,0.6111111111111112,6220800.0,1990656.0,163044928.0
108,b2,0.008502721786499023,0.0001841591001721099,0.6146788990825688,6220800.0,1990656.0,163044928.0
109,b2,0.008206367492675781,0.001429178286343813,0.6181818181818182,6220800.0,1990656.0,163044928.0
110,b2,0.005872249603271484,5.1946553867310286e-06,0.6216216216216216,6220800.0,1990656.0,163044928.0
111,b2,0.006812572479248047,0.0017927143489941955,0.625,6220800.0,1990656.0,163044928.0
112,failed,0.008985042572021484,0,No detection,6220800.0,1990656.0,163044928.0
